# Link G4X XtremeX - staged shakedown boost tables
# EFR 7163-G / 5S-GTE 2.2L / E85
# Load one stage at a time. Do not skip stages.
# Set the overboost cut to the value listed for that stage BEFORE the first pull.

RPM,Stage 0 psi,Stage 0 duty %,Stage 1 psi,Stage 1 duty %,Stage 2 psi,Stage 2 duty %,Stage 3 psi,Stage 3 duty %
2000,0.5,0,0.5,0,0.5,0,0.5,0
2250,1.0,0,1.0,0,1.0,0,1.0,0
2500,1.5,0,1.5,0,1.5,0,1.5,0
2750,3.5,0,3.5,0,3.5,0,3.5,0
3000,6.5,0,6.5,0,6.5,0,6.5,0
3250,11.5,0,11.5,0,11.5,0,11.5,0
3500,14.0,0,17.5,13,17.5,13,17.5,13
3750,14.0,0,18.0,15,22.5,31,22.5,31
4000,14.0,0,18.0,15,24.0,36,26.0,43
4250,14.0,0,18.0,15,24.0,36,28.0,50
4500,14.0,0,18.0,15,24.0,36,29.0,54
4750,14.0,0,18.0,15,24.0,36,29.5,55
5000,14.0,0,18.0,15,24.0,36,30.0,57
5250,14.0,0,18.0,15,24.0,36,30.0,57
5500,14.0,0,18.0,15,24.0,36,30.0,57
5750,14.0,0,18.0,15,24.0,36,30.0,57
6000,14.0,0,18.0,15,24.0,36,29.5,55
6250,14.0,0,18.0,15,24.0,36,29.0,54
6500,14.0,0,18.0,15,24.0,36,28.5,52
6750,14.0,0,18.0,15,24.0,36,28.0,50
7000,14.0,0,18.0,15,24.0,36,27.5,48
7250,14.0,0,18.0,15,24.0,36,27.5,48
7500,14.0,0,18.0,15,24.0,36,27.0,46

# Overboost cut setting per stage (psi gauge)
Stage 0,19
Stage 1,22
Stage 2,28
Stage 3,34
